plz,lat,lon,ort
1833,46.449441,6.95158215,Les Avants
1669,46.482967,7.053598615,Montbovon
1658,46.4661,7.063937,Rossinière
1660,46.447343,7.137467,Château-d'Oex
1659,46.499224,7.214277,Rougemont
1844,46.403846,6.968948,Villeneuve VD
1847,46.375443,6.916829,Rennaz
1845,46.38302311,6.896133477,Noville
1846,46.349049,6.894606,Chessel
1852,46.356976,6.843875,Roche VD
1853,46.338129,6.95034,Yvorne
1854,46.35253326,7.011075089,Leysin
1867,46.295976,7.020185394,St-Triphon
1000,46.55204314,6.652307803,Lausanne 6
1860,46.31503033,6.972387699,Aigle
1856,46.360438,6.973547,Corbeyrier
1862,46.383669,7.059209577,La Comballaz
1862,46.383669,7.059209577,Les Mosses
1866,46.351873,7.071397,La Forclaz VD
1884,46.280989,7.008927838,Huémoz
1867,46.295976,7.020185394,Panex
1863,46.367055,7.048468751,Le Sépey
1000,46.55204314,6.652307803,Lausanne 7
1864,46.353724,7.131035,Vers-l'Eglise
1865,46.293055,7.231071452,Les Diablerets
1867,46.295976,7.020185394,Ollon
1868,46.263243,6.952067357,Collombey
1870,46.24040331,6.915184028,Monthey
1870,46.24040331,6.915184028,Monthey 1
1870,46.24040331,6.915184028,Monthey 2
1871,46.238503,6.954794,Choëx
1871,46.238503,6.954794,Les Giettes
1872,46.23282125,6.885230969,Troistorrents
1000,46.55204314,6.652307803,Lausanne 8
1873,46.19170166,6.888940463,Val-d'Illiez
1874,46.15879312,6.845827552,Champéry
1875,46.232878,6.849532594,Morgins
1880,46.25561085,7.088966819,Bex
1880,46.25561085,7.088966819,Fenalet-sur-Bex
1880,46.25561085,7.088966819,Frenières-sur-Bex
1880,46.25561085,7.088966819,Les Plans-sur-Bex
1882,46.279418,7.094726,Les Posses-sur-Bex
1882,46.279418,7.094726,Gryon
1884,46.280989,7.008927838,Villars-sur-Ollon
1885,46.299236,7.055851484,Chesières
1890,46.198071,7.009492,Saint-Maurice
1890,46.198071,7.009492,Mex VS
1891,46.20116,6.96658,Vérossaz
1000,46.55204314,6.652307803,Lausanne 12
1869,46.23452344,6.982444285,Massongex
1895,46.30775927,6.871283566,Vionnaz
